created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2020-03-07 10:54:22 IST,498,29,38,,,,
2020-03-07 10:55:24 IST,499,29,38,,,,
2020-03-07 10:56:26 IST,500,29,38,,,,
2020-03-07 10:58:30 IST,501,29,37,,,,
2020-03-07 10:59:32 IST,502,29,37,,,,
2020-03-07 11:00:35 IST,503,29,37,,,,
2020-03-07 11:01:37 IST,504,29,37,,,,
2020-03-07 11:02:39 IST,505,29,37,,,,
2020-03-07 11:03:41 IST,506,29,37,,,,
2020-03-07 11:04:43 IST,507,29,37,,,,
2020-03-07 11:05:45 IST,508,29,37,,,,
2020-03-07 11:06:47 IST,509,29,37,,,,
2020-03-07 11:07:49 IST,510,29,37,,,,
2020-03-07 11:08:52 IST,511,29,37,,,,
2020-03-07 11:09:54 IST,512,29,37,,,,
2020-03-07 11:10:56 IST,513,29,37,,,,
2020-03-07 11:11:58 IST,514,29,37,,,,
2020-03-07 11:13:00 IST,515,29,37,,,,
2020-03-07 11:14:02 IST,516,29,37,,,,
2020-03-07 11:15:04 IST,517,29,37,,,,
2020-03-07 11:16:06 IST,518,29,37,,,,
2020-03-07 11:17:09 IST,519,29,36,,,,
2020-03-07 11:18:11 IST,520,29,36,,,,
2020-03-07 11:19:13 IST,521,29,36,,,,
2020-03-07 11:21:17 IST,522,29,36,,,,
2020-03-07 11:22:19 IST,523,29,36,,,,
2020-03-07 11:23:21 IST,524,29,36,,,,
2020-03-07 11:24:23 IST,525,29,36,,,,
2020-03-07 11:25:26 IST,526,29,36,,,,
2020-03-07 11:26:28 IST,527,29,36,,,,
2020-03-07 11:27:30 IST,528,29,36,,,,
2020-03-07 11:28:32 IST,529,29,36,,,,
2020-03-07 11:29:34 IST,530,29,36,,,,
2020-03-07 11:30:36 IST,531,29,35,,,,
2020-03-07 11:31:38 IST,532,29,35,,,,
2020-03-07 11:32:41 IST,533,29,35,,,,
2020-03-07 11:33:43 IST,534,29,35,,,,
